YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2019,2019,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.05,1.05,,,,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2019,2019,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.07,1.07,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.07,1.07,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,12.80,12.8,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2015,2015,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2012,2012,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.75,0.75,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2015,2015,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.75,0.75,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2017,2017,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.05,1.05,,,,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2015,2015,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.24,0.24,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.07,1.07,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.24,0.24,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2019,2019,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.24,0.24,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,12.80,12.8,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.75,0.75,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2015,2015,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.05,1.05,,,,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2015,2015,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2017,2017,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,12.80,12.8,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.24,0.24,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.07,1.07,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,1.05,1.05,,,,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,AK,Alaska,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,12.80,12.8,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2012,2012,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.32,0.32,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.08,0.08,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,CO,Colorado,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.28,2.28,,,,,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.84,0.84,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.30,3.3,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2015,2015,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.16,0.16,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2015,2015,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
